# Parker model for solar wind
# Parker E N. Dynamics of the Interplanetary Gas and Magnetic Fields // ApJ 128:664 (1958)
# ADS URL: https://ui.adsabs.harvard.edu/abs/1958ApJ...128..664P
#
# Columns
# -------
#
# T = 0.5e6 K
#  0: r [cm]
#  1: N [cm^{-3}]
#  2: v [cm s^{-1}]
#
# T = 0.75e6 K
#  3:r, 4:N, 5:v
#
# T = 1e6 K
#  6:r, 7:N, 8:v
#
# T = 1.5e6 K
#  9:r, 10:N, 11:v
#
# T = 2e6 K
#  12:r, 13:N, 14:v
#
# T = 3e6 K
#  15:r, 16:N, 17:v
#
# T = 4e6 K
#  18:r, 19:N, 20:v
#
1.29e+12;2.72e+03;1.33e+07;9.19e+11;5.51e+03;1.70e+07;7.22e+11;9.07e+03;2.02e+07;5.14e+11;1.82e+04;2.57e+07;4.04e+11;2.98e+04;3.05e+07;2.87e+11;5.96e+04;3.87e+07;2.26e+11;9.72e+04;4.57e+07
1.33e+12;2.51e+03;1.36e+07;9.50e+11;5.05e+03;1.74e+07;7.49e+11;8.25e+03;2.06e+07;5.35e+11;1.64e+04;2.63e+07;4.22e+11;2.67e+04;3.12e+07;3.01e+11;5.28e+04;3.96e+07;2.37e+11;8.56e+04;4.69e+07
1.37e+12;2.32e+03;1.38e+07;9.82e+11;4.63e+03;1.77e+07;7.76e+11;7.51e+03;2.11e+07;5.57e+11;1.48e+04;2.69e+07;4.40e+11;2.39e+04;3.19e+07;3.16e+11;4.69e+04;4.06e+07;2.50e+11;7.55e+04;4.81e+07
1.41e+12;2.15e+03;1.41e+07;1.02e+12;4.24e+03;1.81e+07;8.05e+11;6.84e+03;2.15e+07;5.80e+11;1.34e+04;2.75e+07;4.60e+11;2.14e+04;3.26e+07;3.31e+11;4.17e+04;4.15e+07;2.63e+11;6.67e+04;4.92e+07
1.45e+12;1.99e+03;1.43e+07;1.05e+12;3.89e+03;1.84e+07;8.35e+11;6.23e+03;2.19e+07;6.04e+11;1.21e+04;2.81e+07;4.80e+11;1.92e+04;3.34e+07;3.48e+11;3.70e+04;4.25e+07;2.76e+11;5.89e+04;5.04e+07
1.50e+12;1.85e+03;1.46e+07;1.09e+12;3.57e+03;1.88e+07;8.66e+11;5.68e+03;2.24e+07;6.29e+11;1.09e+04;2.86e+07;5.02e+11;1.73e+04;3.41e+07;3.65e+11;3.30e+04;4.34e+07;2.91e+11;5.21e+04;5.15e+07
1.54e+12;1.71e+03;1.48e+07;1.12e+12;3.28e+03;1.91e+07;8.98e+11;5.18e+03;2.28e+07;6.55e+11;9.85e+03;2.92e+07;5.24e+11;1.55e+04;3.48e+07;3.82e+11;2.93e+04;4.43e+07;3.06e+11;4.61e+04;5.26e+07
1.59e+12;1.59e+03;1.51e+07;1.16e+12;3.01e+03;1.94e+07;9.32e+11;4.73e+03;2.32e+07;6.83e+11;8.91e+03;2.98e+07;5.47e+11;1.39e+04;3.55e+07;4.01e+11;2.61e+04;4.52e+07;3.22e+11;4.08e+04;5.37e+07
1.63e+12;1.47e+03;1.53e+07;1.20e+12;2.77e+03;1.98e+07;9.67e+11;4.32e+03;2.37e+07;7.11e+11;8.06e+03;3.03e+07;5.72e+11;1.25e+04;3.62e+07;4.21e+11;2.33e+04;4.62e+07;3.38e+11;3.61e+04;5.48e+07
1.68e+12;1.36e+03;1.56e+07;1.24e+12;2.54e+03;2.01e+07;1.00e+12;3.94e+03;2.41e+07;7.40e+11;7.30e+03;3.09e+07;5.97e+11;1.13e+04;3.68e+07;4.41e+11;2.08e+04;4.71e+07;3.56e+11;3.20e+04;5.59e+07
1.73e+12;1.27e+03;1.58e+07;1.29e+12;2.34e+03;2.05e+07;1.04e+12;3.60e+03;2.45e+07;7.71e+11;6.61e+03;3.15e+07;6.24e+11;1.01e+04;3.75e+07;4.63e+11;1.85e+04;4.80e+07;3.74e+11;2.84e+04;5.70e+07
1.79e+12;1.17e+03;1.61e+07;1.33e+12;2.15e+03;2.08e+07;1.08e+12;3.29e+03;2.49e+07;8.03e+11;5.99e+03;3.20e+07;6.51e+11;9.14e+03;3.82e+07;4.85e+11;1.65e+04;4.88e+07;3.94e+11;2.52e+04;5.81e+07
1.84e+12;1.09e+03;1.63e+07;1.37e+12;1.98e+03;2.11e+07;1.12e+12;3.01e+03;2.53e+07;8.36e+11;5.43e+03;3.26e+07;6.80e+11;8.23e+03;3.89e+07;5.09e+11;1.48e+04;4.97e+07;4.14e+11;2.24e+04;5.91e+07
1.89e+12;1.01e+03;1.66e+07;1.42e+12;1.82e+03;2.15e+07;1.16e+12;2.75e+03;2.57e+07;8.71e+11;4.92e+03;3.31e+07;7.11e+11;7.42e+03;3.95e+07;5.34e+11;1.32e+04;5.06e+07;4.35e+11;1.99e+04;6.02e+07
1.95e+12;9.42e+02;1.68e+07;1.47e+12;1.68e+03;2.18e+07;1.20e+12;2.52e+03;2.61e+07;9.07e+11;4.46e+03;3.36e+07;7.42e+11;6.69e+03;4.02e+07;5.60e+11;1.18e+04;5.15e+07;4.58e+11;1.76e+04;6.12e+07
2.01e+12;8.75e+02;1.70e+07;1.52e+12;1.55e+03;2.21e+07;1.25e+12;2.31e+03;2.65e+07;9.45e+11;4.05e+03;3.42e+07;7.75e+11;6.03e+03;4.08e+07;5.87e+11;1.06e+04;5.23e+07;4.82e+11;1.57e+04;6.22e+07
2.07e+12;8.14e+02;1.73e+07;1.57e+12;1.42e+03;2.24e+07;1.29e+12;2.11e+03;2.69e+07;9.84e+11;3.68e+03;3.47e+07;8.10e+11;5.44e+03;4.15e+07;6.16e+11;9.44e+03;5.31e+07;5.07e+11;1.39e+04;6.32e+07
2.13e+12;7.57e+02;1.75e+07;1.63e+12;1.31e+03;2.28e+07;1.34e+12;1.94e+03;2.73e+07;1.02e+12;3.34e+03;3.52e+07;8.46e+11;4.91e+03;4.21e+07;6.46e+11;8.45e+03;5.40e+07;5.33e+11;1.24e+04;6.42e+07
2.20e+12;7.04e+02;1.78e+07;1.68e+12;1.21e+03;2.31e+07;1.39e+12;1.77e+03;2.77e+07;1.07e+12;3.03e+03;3.58e+07;8.84e+11;4.44e+03;4.28e+07;6.77e+11;7.57e+03;5.48e+07;5.60e+11;1.10e+04;6.52e+07
2.26e+12;6.55e+02;1.80e+07;1.74e+12;1.12e+03;2.34e+07;1.44e+12;1.63e+03;2.81e+07;1.11e+12;2.76e+03;3.63e+07;9.23e+11;4.01e+03;4.34e+07;7.10e+11;6.78e+03;5.56e+07;5.90e+11;9.84e+03;6.62e+07
2.33e+12;6.09e+02;1.82e+07;1.80e+12;1.03e+03;2.37e+07;1.50e+12;1.49e+03;2.85e+07;1.16e+12;2.51e+03;3.68e+07;9.64e+11;3.62e+03;4.40e+07;7.45e+11;6.07e+03;5.64e+07;6.20e+11;8.76e+03;6.72e+07
2.40e+12;5.67e+02;1.84e+07;1.86e+12;9.50e+02;2.40e+07;1.55e+12;1.37e+03;2.89e+07;1.21e+12;2.28e+03;3.73e+07;1.01e+12;3.27e+03;4.46e+07;7.81e+11;5.44e+03;5.72e+07;6.52e+11;7.81e+03;6.82e+07
2.47e+12;5.28e+02;1.87e+07;1.92e+12;8.77e+02;2.43e+07;1.61e+12;1.25e+03;2.93e+07;1.26e+12;2.07e+03;3.78e+07;1.05e+12;2.96e+03;4.52e+07;8.19e+11;4.88e+03;5.80e+07;6.86e+11;6.96e+03;6.91e+07
2.54e+12;4.92e+02;1.89e+07;1.99e+12;8.09e+02;2.47e+07;1.67e+12;1.15e+03;2.97e+07;1.31e+12;1.89e+03;3.83e+07;1.10e+12;2.68e+03;4.58e+07;8.59e+11;4.38e+03;5.88e+07;7.22e+11;6.20e+03;7.01e+07
2.62e+12;4.58e+02;1.91e+07;2.06e+12;7.47e+02;2.50e+07;1.73e+12;1.06e+03;3.00e+07;1.36e+12;1.72e+03;3.88e+07;1.15e+12;2.42e+03;4.65e+07;9.01e+11;3.93e+03;5.96e+07;7.59e+11;5.53e+03;7.10e+07
2.70e+12;4.27e+02;1.94e+07;2.13e+12;6.90e+02;2.53e+07;1.80e+12;9.70e+02;3.04e+07;1.42e+12;1.56e+03;3.93e+07;1.20e+12;2.19e+03;4.71e+07;9.45e+11;3.53e+03;6.04e+07;7.98e+11;4.94e+03;7.20e+07
2.78e+12;3.98e+02;1.96e+07;2.20e+12;6.38e+02;2.56e+07;1.87e+12;8.90e+02;3.08e+07;1.48e+12;1.42e+03;3.98e+07;1.25e+12;1.98e+03;4.76e+07;9.91e+11;3.16e+03;6.12e+07;8.40e+11;4.41e+03;7.29e+07
2.86e+12;3.71e+02;1.98e+07;2.28e+12;5.89e+02;2.59e+07;1.93e+12;8.18e+02;3.12e+07;1.54e+12;1.30e+03;4.03e+07;1.31e+12;1.80e+03;4.82e+07;1.04e+12;2.84e+03;6.19e+07;8.83e+11;3.93e+03;7.38e+07
2.95e+12;3.45e+02;2.00e+07;2.35e+12;5.45e+02;2.62e+07;2.01e+12;7.51e+02;3.15e+07;1.60e+12;1.18e+03;4.08e+07;1.37e+12;1.63e+03;4.88e+07;1.09e+12;2.55e+03;6.27e+07;9.29e+11;3.51e+03;7.47e+07
